Race,Sex,Age Group,Occupation,Cause of Death (ICD),PMR,Deaths,Significance level,Lower 95% CI,Upper 95% CI
,,,"[0]050-095, 013, [8]008, 019, 026, 028-029, 033-034, 036-037, 065, 375-376, [9]005, 008, 021, 023-029, 033-034, 036-037, 065, 254, 274, 375-376","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,BUSINESS & FINANCIAL OPERATIONS,MN PERITONEUM AND PLEURA,87,<5,,18,254
,,,"[0]050-095, 013, [8]008, 019, 026, 028-029, 033-034, 036-037, 065, 375-376, [9]005, 008, 021, 023-029, 033-034, 036-037, 065, 254, 274, 375-376","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,FINANCIAL SPECIALISTS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]080-095, [8]023-037, [9]023-037","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,FINANCIAL SPECIALISTS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]080-095, [8]023-037, [9]023-037","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,FINANCIAL SPECIALISTS,MN PERITONEUM AND PLEURA,58,<5,,12,171
,,,"[0]080-095, [8]023-037, [9]023-037","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,FINANCIAL SPECIALISTS,MN PERITONEUM AND PLEURA,59,<5,,1,331
,,,"[0]080-095, [8]023-037, [9]023-037","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,BUSINESS OPERATAIONS SPECIALIST,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]050-056, [8]028-033, [9]028-033","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,BUSINESS OPERATAIONS SPECIALIST,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]050-056, [8]028-033, [9]028-033","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,BUSINESS OPERATAIONS SPECIALIST,MN PERITONEUM AND PLEURA,142,<5,,4,789
,,,"[0]050-056, [8]028-033, [9]028-033","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,BUSINESS OPERATAIONS SPECIALIST,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]050-056, [8]028-033, [9]028-033","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,PROFESSIONAL AND SPECIALTY OCCUPATIONS,MN PERITONEUM AND PLEURA,171,<5,,47,438
,,,"[0]120-326, [8]043-199, [9]043-199","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,PROFESSIONAL AND SPECIALTY OCCUPATIONS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]120-326, [8]043-199, [9]043-199","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,PROFESSIONAL AND SPECIALTY OCCUPATIONS,MN PERITONEUM AND PLEURA,134,38,,95,184
,,,"[0]120-326, [8]043-199, [9]043-199","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,PROFESSIONAL AND SPECIALTY OCCUPATIONS,MN PERITONEUM AND PLEURA,141,11,,70,252
,,,"[0]120-326, [8]043-199, [9]043-199","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,ARCHITECTS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]130, [8]043, [9]043","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,ARCHITECTS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]130, [8]043, [9]043","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,ARCHITECTS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]130, [8]043, [9]043","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,ARCHITECTS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]130, [8]043, [9]043","[0]C384, C48, [9]158, 163",,,,,
