Race,Sex,Age Group,Occupation,Cause of Death (ICD),PMR,Deaths,Significance level,Lower 95% CI,Upper 95% CI
,,,"[0]475, [8]269, [9]269","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,PARTS SALESPERSONS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]475, [8]269, [9]269","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,"SALESPERSONS, OTHER COMMODITIES",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]406, 494, [8]274, [9]274","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,"SALESPERSONS, OTHER COMMODITIES",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]406, 494, [8]274, [9]274","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,"SALESPERSONS, OTHER COMMODITIES",MN PERITONEUM AND PLEURA,0,<5,p<0.01,,
,,,"[0]406, 494, [8]274, [9]274","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,"SALESPERSONS, OTHER COMMODITIES",MN PERITONEUM AND PLEURA,160,<5,,4,893
,,,"[0]406, 494, [8]274, [9]274","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,CASHIERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]472, [8]276, [9]276","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,CASHIERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]472, [8]276, [9]276","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,CASHIERS,MN PERITONEUM AND PLEURA,86,<5,,10,309
,,,"[0]472, [8]276, [9]276","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,CASHIERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]472, [8]276, [9]276","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,OTHER SALES RELATED OCCUPATIONS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]490-496, [8]277-285, [9]277-285","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,OTHER SALES RELATED OCCUPATIONS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]490-496, [8]277-285, [9]277-285","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,OTHER SALES RELATED OCCUPATIONS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]490-496, [8]277-285, [9]277-285","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,OTHER SALES RELATED OCCUPATIONS,MN PERITONEUM AND PLEURA,625,<5,,16,3481
,,,"[0]490-496, [8]277-285, [9]277-285","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,OFFICE & ADMINISTRATIVE SUPPORT OCCUPATIONS,MN PERITONEUM AND PLEURA,87,<5,,2,483
,,,"[0]500-593, 483, [8]303-389, [9]303-386","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,OFFICE & ADMINISTRATIVE SUPPORT OCCUPATIONS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]500-593, 483, [8]303-389, [9]303-386","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,OFFICE & ADMINISTRATIVE SUPPORT OCCUPATIONS,MN PERITONEUM AND PLEURA,116,48,,85,153
,,,"[0]500-593, 483, [8]303-389, [9]303-386","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,OFFICE & ADMINISTRATIVE SUPPORT OCCUPATIONS,MN PERITONEUM AND PLEURA,35,<5,,1,196
,,,"[0]500-593, 483, [8]303-389, [9]303-386","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,"SUPERVISORS, OFFICE & ADMINISTRATIVE SUPPORT OCCUPATIONS",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]500, [8]303-307, [9]303-307","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,"SUPERVISORS, OFFICE & ADMINISTRATIVE SUPPORT OCCUPATIONS",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]500, [8]303-307, [9]303-307","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,"SUPERVISORS, OFFICE & ADMINISTRATIVE SUPPORT OCCUPATIONS",MN PERITONEUM AND PLEURA,179,<5,,37,523
,,,"[0]500, [8]303-307, [9]303-307","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,"SUPERVISORS, OFFICE & ADMINISTRATIVE SUPPORT OCCUPATIONS",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]500, [8]303-307, [9]303-307","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,COMPUTER EQUIPMENT OPERATORS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]580, [8]308, 309, [9]308, 309","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,COMPUTER EQUIPMENT OPERATORS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]580, [8]308, 309, [9]308, 309","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,COMPUTER EQUIPMENT OPERATORS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]580, [8]308, 309, [9]308, 309","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,COMPUTER EQUIPMENT OPERATORS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]580, [8]308, 309, [9]308, 309","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,"SECRETARIES, STENOGRAPHERS, & TYPISTS",MN PERITONEUM AND PLEURA,383,<5,,10,2133
,,,"[0]570, 582, 593, [8]313-315, [9]313-315","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,"SECRETARIES, STENOGRAPHERS, & TYPISTS",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]570, 582, 593, [8]313-315, [9]313-315","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,"SECRETARIES, STENOGRAPHERS, & TYPISTS",MN PERITONEUM AND PLEURA,132,21,,81,201
,,,"[0]570, 582, 593, [8]313-315, [9]313-315","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,"SECRETARIES, STENOGRAPHERS, & TYPISTS",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]570, 582, 593, [8]313-315, [9]313-315","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,SECRETARIES,MN PERITONEUM AND PLEURA,416,<5,,10,2317
,,,"[0]570, [8]313, [9]313","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,SECRETARIES,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]570, [8]313, [9]313","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,SECRETARIES,MN PERITONEUM AND PLEURA,131,20,,80,203
,,,"[0]570, [8]313, [9]313","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,SECRETARIES,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]570, [8]313, [9]313","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,INFORMATION CLERKS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]181, 523, 531, 534, 540, [8]316-323, [9]316-323","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,INFORMATION CLERKS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]181, 523, 531, 534, 540, [8]316-323, [9]316-323","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,INFORMATION CLERKS,MN PERITONEUM AND PLEURA,112,<5,,14,403
,,,"[0]181, 523, 531, 534, 540, [8]316-323, [9]316-323","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,INFORMATION CLERKS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]181, 523, 531, 534, 540, [8]316-323, [9]316-323","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,HOTEL CLERKS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]530, [8]317, [9]317","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,HOTEL CLERKS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]530, [8]317, [9]317","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,HOTEL CLERKS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]530, [8]317, [9]317","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,HOTEL CLERKS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]530, [8]317, [9]317","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,"TRAVEL, TICKET AND RESERVATION AGENTS",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]483, 541, [8]318, [9]318","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,"TRAVEL, TICKET AND RESERVATION AGENTS",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]483, 541, [8]318, [9]318","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,"TRAVEL, TICKET AND RESERVATION AGENTS",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]483, 541, [8]318, [9]318","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,"TRAVEL, TICKET AND RESERVATION AGENTS",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]483, 541, [8]318, [9]318","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,RECEPTIONISTS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]540, [8]319, [9]319","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,RECEPTIONISTS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]540, [8]319, [9]319","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,RECEPTIONISTS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]540, [8]319, [9]319","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,RECEPTIONISTS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]540, [8]319, [9]319","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,INFORMATION AND RECORD CLERKS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]520-542, [8]325-336, [9]325-336","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,INFORMATION AND RECORD CLERKS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]520-542, [8]325-336, [9]325-336","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,INFORMATION AND RECORD CLERKS,MN PERITONEUM AND PLEURA,67,<5,,2,374
,,,"[0]520-542, [8]325-336, [9]325-336","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,INFORMATION AND RECORD CLERKS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]520-542, [8]325-336, [9]325-336","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,FINANCIAL CLERKS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]500, 511-512, 514, [8]305, 337-344, [9]305, 337-344","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,FINANCIAL CLERKS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]500, 511-512, 514, [8]305, 337-344, [9]305, 337-344","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,FINANCIAL CLERKS,MN PERITONEUM AND PLEURA,168,14,,92,282
,,,"[0]500, 511-512, 514, [8]305, 337-344, [9]305, 337-344","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,FINANCIAL CLERKS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]500, 511-512, 514, [8]305, 337-344, [9]305, 337-344","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,"DUPLICATING, MAIL & OTHER OFFICE MACHINE OPERATORS",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]585-590, [8]345-347, [9]345-347","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,"DUPLICATING, MAIL & OTHER OFFICE MACHINE OPERATORS",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]585-590, [8]345-347, [9]345-347","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,"DUPLICATING, MAIL & OTHER OFFICE MACHINE OPERATORS",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]585-590, [8]345-347, [9]345-347","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,"DUPLICATING, MAIL & OTHER OFFICE MACHINE OPERATORS",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]585-590, [8]345-347, [9]345-347","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,COMMUNICATIONS EQUIPMENT OPERATORS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]501-503, [8]306, 348-353, [9]306, 348-353","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,COMMUNICATIONS EQUIPMENT OPERATORS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]501-503, [8]306, 348-353, [9]306, 348-353","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,COMMUNICATIONS EQUIPMENT OPERATORS,MN PERITONEUM AND PLEURA,45,<5,,1,253
,,,"[0]501-503, [8]306, 348-353, [9]306, 348-353","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,COMMUNICATIONS EQUIPMENT OPERATORS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]501-503, [8]306, 348-353, [9]306, 348-353","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,"COURIER, CLERKS, POSTAL SERVICE & CARRIES",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]551, 554-556, 585, [8]354-357, [9]354-357","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,"COURIER, CLERKS, POSTAL SERVICE & CARRIES",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]551, 554-556, 585, [8]354-357, [9]354-357","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,"COURIER, CLERKS, POSTAL SERVICE & CARRIES",MN PERITONEUM AND PLEURA,123,<5,,3,684
,,,"[0]551, 554-556, 585, [8]354-357, [9]354-357","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,"COURIER, CLERKS, POSTAL SERVICE & CARRIES",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]551, 554-556, 585, [8]354-357, [9]354-357","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,"SHIPPING & RECEIVING, SCHEDULING, & DISTRIBUTING CLERKS",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]515, 550, 552-553, 560-563, 860, [8]359-374, [9]359-374","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,"SHIPPING & RECEIVING, SCHEDULING, & DISTRIBUTING CLERKS",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]515, 550, 552-553, 560-563, 860, [8]359-374, [9]359-374","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,"SHIPPING & RECEIVING, SCHEDULING, & DISTRIBUTING CLERKS",MN PERITONEUM AND PLEURA,138,<5,,17,497
,,,"[0]515, 550, 552-553, 560-563, 860, [8]359-374, [9]359-374","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,"SHIPPING & RECEIVING, SCHEDULING, & DISTRIBUTING CLERKS",MN PERITONEUM AND PLEURA,132,<5,,3,735
,,,"[0]515, 550, 552-553, 560-563, 860, [8]359-374, [9]359-374","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,ADJUSTERS & INVESTIGATORS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]054, 510, 523-525, 533, 584, [8]375-378, [9]375-378","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,ADJUSTERS & INVESTIGATORS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]054, 510, 523-525, 533, 584, [8]375-378, [9]375-378","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,ADJUSTERS & INVESTIGATORS,MN PERITONEUM AND PLEURA,80,<5,,2,446
,,,"[0]054, 510, 523-525, 533, 584, [8]375-378, [9]375-378","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,ADJUSTERS & INVESTIGATORS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]054, 510, 523-525, 533, 584, [8]375-378, [9]375-378","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,OTHER OFFICE AND ADMINISTRATIVE SUPPORT OCCUPATIONS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]104, 254, 516, 522, 540, 581, 586, 591-593, [8]379-389, [9]379-389","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,OTHER OFFICE AND ADMINISTRATIVE SUPPORT OCCUPATIONS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]104, 254, 516, 522, 540, 581, 586, 591-593, [8]379-389, [9]379-389","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,OTHER OFFICE AND ADMINISTRATIVE SUPPORT OCCUPATIONS,MN PERITONEUM AND PLEURA,85,8,,37,168
,,,"[0]104, 254, 516, 522, 540, 581, 586, 591-593, [8]379-389, [9]379-389","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,OTHER OFFICE AND ADMINISTRATIVE SUPPORT OCCUPATIONS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]104, 254, 516, 522, 540, 581, 586, 591-593, [8]379-389, [9]379-389","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,GENERAL OFFICE CLERKS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]586, [8]379, [9]379","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,GENERAL OFFICE CLERKS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]586, [8]379, [9]379","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,GENERAL OFFICE CLERKS,MN PERITONEUM AND PLEURA,71,<5,,19,183
,,,"[0]586, [8]379, [9]379","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,GENERAL OFFICE CLERKS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]586, [8]379, [9]379","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,BANK TELLERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]516, [8]383, [9]383","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,BANK TELLERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]516, [8]383, [9]383","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,BANK TELLERS,MN PERITONEUM AND PLEURA,99,<5,,2,553
,,,"[0]516, [8]383, [9]383","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,BANK TELLERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]516, [8]383, [9]383","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,COMPUTER EQUIPMENT OPERATORS AND DATA ENTRY KEYERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]500, 580-583, [8]304, 308, 309, 385, [9]304, 308, 309, 385","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,COMPUTER EQUIPMENT OPERATORS AND DATA ENTRY KEYERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]500, 580-583, [8]304, 308, 309, 385, [9]304, 308, 309, 385","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,COMPUTER EQUIPMENT OPERATORS AND DATA ENTRY KEYERS,MN PERITONEUM AND PLEURA,128,<5,,15,461
,,,"[0]500, 580-583, [8]304, 308, 309, 385, [9]304, 308, 309, 385","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,COMPUTER EQUIPMENT OPERATORS AND DATA ENTRY KEYERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]500, 580-583, [8]304, 308, 309, 385, [9]304, 308, 309, 385","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,"ALL SERVICE OCCUPATIONS, EXC PROTECTIVE & PRIVATE HOUSEHOLDS",MN PERITONEUM AND PLEURA,66,<5,,14,194
,,,"[0]254, 360-364, 400-406, 411-416, 420, 422-424, 430-432, 440-446, 911, [8]433-469, [9]433-469","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,"ALL SERVICE OCCUPATIONS, EXC PROTECTIVE & PRIVATE HOUSEHOLDS",MN PERITONEUM AND PLEURA,216,<5,,5,1201
,,,"[0]254, 360-364, 400-406, 411-416, 420, 422-424, 430-432, 440-446, 911, [8]433-469, [9]433-469","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,"ALL SERVICE OCCUPATIONS, EXC PROTECTIVE & PRIVATE HOUSEHOLDS",MN PERITONEUM AND PLEURA,47,12,p<0.01,24,82
,,,"[0]254, 360-364, 400-406, 411-416, 420, 422-424, 430-432, 440-446, 911, [8]433-469, [9]433-469","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,"ALL SERVICE OCCUPATIONS, EXC PROTECTIVE & PRIVATE HOUSEHOLDS",MN PERITONEUM AND PLEURA,113,<5,,23,329
,,,"[0]254, 360-364, 400-406, 411-416, 420, 422-424, 430-432, 440-446, 911, [8]433-469, [9]433-469","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,PRIVATE HOUSEHOLD OCCUPATIONS (see industry codes),MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[8]403-407, [9]403-407","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,PRIVATE HOUSEHOLD OCCUPATIONS (see industry codes),MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[8]403-407, [9]403-407","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,PRIVATE HOUSEHOLD OCCUPATIONS (see industry codes),MN PERITONEUM AND PLEURA,162,<5,,33,474
,,,"[8]403-407, [9]403-407","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,PRIVATE HOUSEHOLD OCCUPATIONS (see industry codes),MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[8]403-407, [9]403-407","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,LAUNDERERS & IRONERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]830-831, [8]403, [9]403","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,LAUNDERERS & IRONERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]830-831, [8]403, [9]403","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,LAUNDERERS & IRONERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]830-831, [8]403, [9]403","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,LAUNDERERS & IRONERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]830-831, [8]403, [9]403","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,COOKS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]402, [8]404, [9]404","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,COOKS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]402, [8]404, [9]404","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,COOKS,MN PERITONEUM AND PLEURA,203,<5,,25,734
,,,"[0]402, [8]404, [9]404","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,COOKS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]402, [8]404, [9]404","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,HOUSEKEEPERS & BUTLERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]465, [8]405, [9]405","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,HOUSEKEEPERS & BUTLERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]465, [8]405, [9]405","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,HOUSEKEEPERS & BUTLERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]465, [8]405, [9]405","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,HOUSEKEEPERS & BUTLERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]465, [8]405, [9]405","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,"CHILD CARE WORKERS, PRIVATE HOUSEHOLD",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]460, [8]406, [9]406","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,"CHILD CARE WORKERS, PRIVATE HOUSEHOLD",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]460, [8]406, [9]406","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,"CHILD CARE WORKERS, PRIVATE HOUSEHOLD",MN PERITONEUM AND PLEURA,278,<5,,7,1547
,,,"[0]460, [8]406, [9]406","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,"CHILD CARE WORKERS, PRIVATE HOUSEHOLD",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]460, [8]406, [9]406","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,PERSONAL CARE AND SERVICE AND HOME CARE AIDES,MN PERITONEUM AND PLEURA,71,<5,,2,398
,,,"[0]461, 465, [8]407, [9]407","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,PERSONAL CARE AND SERVICE AND HOME CARE AIDES,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]461, 465, [8]407, [9]407","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,PERSONAL CARE AND SERVICE AND HOME CARE AIDES,MN PERITONEUM AND PLEURA,218,<5,,59,559
,,,"[0]461, 465, [8]407, [9]407","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,PERSONAL CARE AND SERVICE AND HOME CARE AIDES,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]461, 465, [8]407, [9]407","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,PROTECTIVE SERVICE OCCUPATIONS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]370-375, 380-386, 390-395, [8]006, 413-427, [9]006, 413-427","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,PROTECTIVE SERVICE OCCUPATIONS,MN PERITONEUM AND PLEURA,948,<5,,24,5280
,,,"[0]370-375, 380-386, 390-395, [8]006, 413-427, [9]006, 413-427","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,PROTECTIVE SERVICE OCCUPATIONS,MN PERITONEUM AND PLEURA,110,<5,,3,612
,,,"[0]370-375, 380-386, 390-395, [8]006, 413-427, [9]006, 413-427","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,PROTECTIVE SERVICE OCCUPATIONS,MN PERITONEUM AND PLEURA,58,<5,,1,322
,,,"[0]370-375, 380-386, 390-395, [8]006, 413-427, [9]006, 413-427","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,"SUPERVISORS, PROTECTIVE SERVICE OCCUPATIONS INCL ADMINISTRATORS",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]370-373, [8]413-415, [9]413-415","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,"SUPERVISORS, PROTECTIVE SERVICE OCCUPATIONS INCL ADMINISTRATORS",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]370-373, [8]413-415, [9]413-415","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,"SUPERVISORS, PROTECTIVE SERVICE OCCUPATIONS INCL ADMINISTRATORS",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]370-373, [8]413-415, [9]413-415","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,"SUPERVISORS, PROTECTIVE SERVICE OCCUPATIONS INCL ADMINISTRATORS",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]370-373, [8]413-415, [9]413-415","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,FIREFIGHTERS & PREVENTION WORKERS,MN PERITONEUM AND PLEURA,0,<5,,,
